comment,label
@user ههههههههه فعلا مفصوحين و بايعين دينكم و عرضكم ، حركاتكم ما تمشي حتى على الغشيم يا اذناب اليهود ، تسوو… @url,hateful
حطموا أحلام جبران باسيل بالمساهمة بإعادة الإعمار,normal
@user هذا اول عادات وتقاليد الحين خلاص الحريم هما اللي يمشونا بمزاجهم,normal
لقد أكلنا هواءاً,normal
القمة الإقتصادية العربية,normal
كلكم أذناب من نفس الفصيلة ,abusive
يا لطيف شو هالهضامة عم تشرشر هههههه,normal
لو في دولة بتحترم حالها على قولتك كنت المفروض عم تحكي من سجن رومية من تلفون ابو لمبة يا وهابو  حط ضبان وحكي على قدك     ,abusive
ليك مين عم يحكي عن النفاق   ,normal
تسلميلي يا قمر,normal
هيدي ثقافتكم يلي بتفكروا حالكم شاطرين فيها كل ما حدا خالفكم الرأي بتتهموه بالعمالة او الخ,normal
اكبر ظلم اذا الرئيس سعد الحريري بيمضي نحنا لليوم مراسيمنا ما انمضت من جبران باسيل بحجة ا…,normal
@user @user ناقش  بهيم  ولا تناقش  شاربي بول  البعير  يا  بعير  #احط  لا وقت  عندي لكي أجادل   بهيم… @url,normal
سلامة هضامتك من الزناخة ميشان هيك رح أعملك بلوك هون وتابعني عالشاشة,normal
هل تعتقد ان الحمار يستطيع القراءة او الفهم يارجل بيكفي لاحياة لمن تنادي ,normal
أود أن اصف هذا الكائن البشري بأنه أكثر وزر,normal
الحل عند جبران باسيل بما انه صاير عنده كل الحلول,normal
حالتين مر بهم لبنان,normal
مرة مرتو لزكربرغ حبّت تمزح معو، خبّتلو ال تيشرت الرمادية 😎,normal
هي شخص رهيب بحق يعني ما بعرف كيف ما حدا مكتشفها من قبل,normal
هيك ما كنتي عم تتعلمي السواقة  كنتي عم تتعلمي كيف ترتكبي جريمة,normal
تماماً ولما يشاركوا نفس القناعات بالاخر بيكون الواحد عم يثبت صحة آراءه وبالتالي عم ي حاله,normal
يا حقير هيدا العهد يلي انت بدك يلي انت عّم تبوس راص عون يا واطي يا خنزير,obscene
عزيزي وئام هل يجوز نهاد ان يتركك حرا ام يجب سجنك يا بوق الفتنة,obscene
لعنة الله عليك وعلى كل درزى خبيث تمارسون لعبة تبادل الأدوار في لبنان درزى مع ودرزى ضد يهاجم وهذا دأب أقليات الحقد الد,hate
صباح الخير كول هوا,abusive
هالانسان اذا بتقطع عنه البهدلة بيختنق ههههههههههههههههههههههههههههههه ,normal
هتلر,normal
@user والحصاله الي ع شكل خنزير,normal
@user لعنة الله على ام امك يا بن العاهرة خلي دعمك لترامب المغرب راح ينظم الكان بيك ولا بلى بيك يخخخ تفوووو على وسخ,hateful
لمن يهلل لوديعة قطر عليه ان يعلم أن الوديعة مربحة لمن يودعها لأن فائدتها عالية وهي ليست هبة كما إعتقد البعض ثم لا أ… ,normal
رحم الله وسام الحسن فعلا ,normal
الهدف ليس جبران باسيل الهدف هو التفاهم بين التيار وحزب الله,normal
ما لقيت ولا تعليق بقول انك سوي والي مش سوي عندك هو عند كل العالم سوي يعني انت الأهبل ولا واحد علق بصفك,abusive
هي وقفت على زعابيط التويتر في زعابيط عملوهم وزراء ونواب,obscene
لا أحب البرازيل و لا أحب القهوة لا أحب سويسرا لكنني أحب الشكليطة,normal
هل تتذكر بنك المدينه يا حرامي,abusive
انت لو بتهتم بمسرحياتك الكوميديه احله وتروك هيدي لامور للناس ل بتفهم السياسه,normal
واحد سافل,abusive
حاج تعوي بقا,obscene
تسقط أنت وانقلابك العفن,obscene
فكرة حلوي حبيتا      ,normal
ليش بحسك بتعوي كتير يا كلب بشار مفكر اذا عويت حدن حيرد عليك,abusive
يجد عمامت سوداء طليت بالأبيض احزرو المراوغين,normal
خليك عم تجرب تفتن، هيدة شغلتك,abusive
للأسف طز بهذا البلد وطز بهيك نواب فعلا نحنا اللبنانيين شعب بيهوي,abusive
يدومك صوت للحق حضرة الرئيس,normal
انت يا سارق شو مفكر ما منعرف مين سرقلا المصاري و افلست الشركة روح شوف فسادك انت من وين معك كل,normal
حسبي الله ونعم الوكيل في كل ظالم وابن حرام,obscene
تقتلن يعني لاء ما بيحرزو خليهن عم يهوشو منتسلى فيهن منزهق بلاهن,normal
عالحق ما حقها شي   تحياتي ,normal
منحرفة وساقطة,obscene
بشرفك شو نوع الحشيش يلي عم تدخنو شكلو ممتاز,normal
مش غريب يطلع من نيعك هيك كلام يا ريت بتسدو بشي خلده,abusive
صدق من قال هذا زمان الدعارة قد تكامل ,abusive
ليش يا شنتير شو كان في مقابلته شي مس منيح ؟ بالعكس يا اصلع كان تهديد قوي لعدوك اذا بتعترف فيه يا مسطل,abusive
كنت بدي اكتها لقيت حداً سبقني ,normal
دئما يلحق بك الدمااار ,abusive
احتجز الحريري أو لم يحتجز انت شو خصك  بتعملوا فلاسفة ع التويتر  تفضل تعا ع لبنان وشارك وغيّر بل الحالة الموجودة  انا بقول بتكون حضرتك متقاعد وعم تزت تكهنات وأمنيات  شبعنا كترت حكي,normal
هدفها إقصاء الرأي الآخر بالجبل ونتيجتها إستشهاد محمد أبو دياب مش عيب نقبل ناكل لحمنا بإيدنا,normal
ما بأثر نكون خواريف افضل ما نكون خنازير منبزق بالبير لي شربنا منو متل معلمك لي اكل لكب…,hate
لا يوجد أقذر و احقر عزمي بشارة و وضاح خنفر الا القذر وئام وهاب,abusive
اتقي شر جبران باسيل نفس الشي,normal
كمان خطر عبالي سؤال لحضرتك، وين صارت صرمايتك ؟ قصدي المحكمة الدولية ,abusive
فيك تشرحلنا يا سندباد شو قدم الشخسعد للبلد من وقت ما هل هلالو عالساحة السياسية غير إنو كان… ,normal
مين انت بس؟؟؟ على كل حال هيدي قطر يلي ابو لفة تاعك حسن كذاب فلق سمانا بلوحات شكرا قطر أو نسيتوا يلي بيسمعك بيقول… ,abusive
مش جايي لعندك و على دولة الخلّفك و فيك تفل إذا مش عاجبك,normal
خرا عليك وعليه,obscene
كول هوا وخلينا نركز مع الطيب وخليك بصيدك عالتلج عبيط واهبل وزيمبواي,obscene
اكيد يارس دول مفسدين في الارض,obscene
الوزير جبران باسيل عملّو عصر هضم,normal
جبران باسيل بدو يعلّم لندن و واشنطن كيفية إدارة بلد من دون موازنة,normal
طيب بشار الاسد بتدعمه حزب الله والامارات بتدعم بشار الاسد من بدايه الازمه فسر لي الموضوع,normal
